,name,id,level
464,meyhane,5283c7b4e4b094cb91ec88da,2
465,pide place,530faca9bcbc57f1066bc2f2,2
466,pilavcı,58daa1558bbb0b01f18ec1df,2
467,söğüş place,58daa1558bbb0b01f18ec1dc,2
468,tantuni restaurant,56aa371be4b08b9a8d5734bf,2
469,turkish coffeehouse,56aa371be4b08b9a8d5734c1,2
470,turkish home cooking restaurant,5283c7b4e4b094cb91ec88d4,2
471,çöp şiş place,58daa1558bbb0b01f18ec1e2,2
472,ukrainian restaurant,52e928d0bcbc57f1066b7e96,1
473,varenyky restaurant,52e928d0bcbc57f1066b7e9a,2
474,west-ukrainian restaurant,52e928d0bcbc57f1066b7e9b,2
475,vegetarian vegan restaurant,4bf58dd8d48988d1d3941735,1
476,wings joint,4bf58dd8d48988d14c941735,1
477,nightlife spot,4d4b7105d754a06376d81259,0
478,bar,4bf58dd8d48988d116941735,1
479,beach bar,52e81612bcbc57f1066b7a0d,2
480,beer bar,56aa371ce4b08b9a8d57356c,2
481,beer garden,4bf58dd8d48988d117941735,2
482,champagne bar,52e81612bcbc57f1066b7a0e,2
483,cocktail bar,4bf58dd8d48988d11e941735,2
484,dive bar,4bf58dd8d48988d118941735,2
485,gay bar,4bf58dd8d48988d1d8941735,2
486,hookah bar,4bf58dd8d48988d119941735,2
487,hotel bar,4bf58dd8d48988d1d5941735,2
488,ice bar,5f2c40f15b4c177b9a6dc684,2
489,karaoke bar,4bf58dd8d48988d120941735,2
490,pub,4bf58dd8d48988d11b941735,2
491,rooftop bar,5f2c224bb6d05514c70440a3,2
492,sake bar,4bf58dd8d48988d11c941735,2
493,speakeasy,4bf58dd8d48988d1d4941735,2
494,sports bar,4bf58dd8d48988d11d941735,2
495,tiki bar,56aa371be4b08b9a8d57354d,2
496,whisky bar,4bf58dd8d48988d122941735,2
497,wine bar,4bf58dd8d48988d123941735,2
498,brewery,50327c8591d4c4b30a586d5d,1
499,lounge,4bf58dd8d48988d121941735,1
500,night market,53e510b7498ebcb1801b55d4,1
501,nightclub,4bf58dd8d48988d11f941735,1
502,other nightlife,4bf58dd8d48988d11a941735,1
503,strip club,4bf58dd8d48988d1d6941735,1
504,outdoors & recreation,4d4b7105d754a06377d81259,0
